cluster,lat,lon,count
0,-33.92341944444444,18.704952777777777,36
1,-32.079433783783784,115.93890675675677,148
2,45.59104386920981,8.92555803814714,367
3,19.11510857142857,72.87249047619048,210
4,51.732319070904644,4.666289323553382,1227
5,25.212084615384615,55.57014102564102,78
6,49.9997822671156,8.532537598204264,891
7,47.443541964285714,19.226423214285713,112
8,40.705474524098825,-73.99275273390036,2469
9,44.79731363636363,9.799545454545454,22
10,47.44058339719029,8.688972286079183,783
12,40.5588149509804,-3.482414705882353,408
13,41.30949692585895,2.114515189873418,553
14,38.89543838484546,-77.35400917248256,1003
15,43.642958542713565,-79.58088153266331,796
16,45.75265982905983,5.084783760683761,117
18,48.708997020725384,2.601666062176166,772
19,48.641109523809526,9.285113333333333,105
20,51.96863706371191,-0.9453176731301939,1805
21,37.97042232779098,23.872919002375298,421
22,50.07085482233502,14.0623807106599,197
23,48.11245720930232,16.476680930232558,430
25,48.67332148760331,11.473315702479338,242
28,41.14422,16.783682,50
29,22.1773842377261,114.11348010335917,774
30,22.637989166666667,88.25656166666666,240
31,41.06168518518519,3.3798814814814815,27
32,45.19425813953489,7.663555813953488,43
33,41.3652985,-8.490917000000001,200
36,46.20212580645161,6.082933333333333,93
38,43.64427928571428,7.198244285714286,140
39,43.625014285714286,1.3745489795918369,49
40,14.397055670103093,121.12768170103094,388
41,41.88657891156463,-87.8399593537415,1764
42,59.555030175438596,17.740182807017547,285
43,28.336506896551725,77.02211442006269,638
45,35.58661438515082,139.7887920340294,1293
46,-34.61581911764706,-58.4657169117647,136
47,13.727334285714287,100.78547380952381,210
48,53.635507619047615,9.957224761904762,105
50,25.26033111111111,51.601591111111105,45
51,48.04286923714759,-122.53144734660034,1206
52,23.74363373493976,90.46481807228915,83
53,52.116011666666665,20.90112583333333,120
54,-33.89774904862579,151.05954778012685,473
55,32.84768751763047,-96.95281643159379,1418
57,53.42183650190114,-5.873460836501901,263
58,43.47054838709678,5.131470967741936,31
59,4.793148026315789,-74.12572828947368,152
61,14.537201785714286,-90.51919285714287,56
63,5.701591666666666,-73.77728333333333,24
64,42.321734659685866,-71.07861319371727,955
65,28.21365263509006,-81.76522141427618,1499
67,30.289022826086956,-97.54305434782609,368
68,33.65993685474189,-84.49926092436974,1666
69,33.457847396293026,-117.6860052956752,1133
70,37.76179195849546,-121.95341699092087,1542
71,18.54712,-66.11971333333334,45
72,21.139173716012085,-86.95758549848942,331
73,19.550979411764704,-98.97116535947713,306
75,18.771075555555555,-99.17227333333334,45
77,39.76097072330655,-104.68009443168772,1742
78,25.756170414201183,-100.1215023668639,169
79,33.53927569141194,-112.0063788937409,1374
80,32.73307826086957,-111.71547826086957,23
81,36.01810788288288,-115.08037601351351,888
84,36.21053798076923,-86.62103653846154,416
86,41.90857948717949,12.27658717948718,39
87,41.71915319148936,44.90226808510638,47
88,36.84497777777778,30.783955555555554,54
89,37.14983741935484,-8.01037935483871,155
91,47.138384615384616,15.485807692307691,26
93,49.619254999999995,6.1819125,40
95,50.073924793388436,19.666154545454546,121
98,51.09338666666667,16.845866666666666,60
100,60.26607857142857,24.758389047619048,210
102,37.46208055555556,-5.905393055555556,72
103,40.90538260869565,0.8951739130434782,23
104,55.79582766798419,-3.9179241106719367,253
108,39.493279104477615,-0.48668955223880594,67
